iter	Logloss
0	0.4377270993
1	0.2918825832
2	0.2259694791
3	0.1957752307
4	0.1758576449
5	0.1635654125
6	0.1565777359
7	0.150252692
8	0.1457072336
9	0.1423645528
10	0.1398780471
11	0.1373533066
12	0.1341800258
13	0.1326391606
14	0.1306360675
15	0.1283300406
16	0.1264567342
17	0.125455307
18	0.1238170686
19	0.1216187076
20	0.1194177651
21	0.1183328219
22	0.1166880739
23	0.115284468
24	0.1132910447
25	0.1122648013
26	0.1100994598
27	0.1088907054
28	0.1069084653
29	0.105059568
30	0.1046463071
31	0.103800347
32	0.1024428252
33	0.1011367929
34	0.1003327769
35	0.09950187781
36	0.09808495416
37	0.09717017316
38	0.09666989626
39	0.09544968144
40	0.09486995566
41	0.09434934355
42	0.09312241246
43	0.0917718089
44	0.09118681247
45	0.09059491613
46	0.08907695093
47	0.08778358731
48	0.08712625222
49	0.08650265817
50	0.0863061948
51	0.08581801235
52	0.08520716733
53	0.08406606687
54	0.08347858297
55	0.0827422847
56	0.08242221465
57	0.08168298283
58	0.08064632799
59	0.07971254422
60	0.07918199917
61	0.07879378407
62	0.07781027911
63	0.07690702971
64	0.07649782694
65	0.07589491275
66	0.0752301645
67	0.07505048082
68	0.0738309274
69	0.07330237349
70	0.07296677265
71	0.07224125014
72	0.07144246637
73	0.07052179721
74	0.06970611621
75	0.06910961144
76	0.06860512851
77	0.06777915392
78	0.06696300182
79	0.06608051991
80	0.06538959524
81	0.0650377308
82	0.06425491176
83	0.0638204571
84	0.06342989956
85	0.06315715204
86	0.06298379733
87	0.06243039335
88	0.06203559155
89	0.06153586057
90	0.06110902933
91	0.06105000738
92	0.06029972532
93	0.05998740253
94	0.05979172935
95	0.05917860793
96	0.05853885617
97	0.05812648967
98	0.05787878203
99	0.05729084578
100	0.05696891347
101	0.05668102412
102	0.05662562582
103	0.05626377553
104	0.05579819003
105	0.05503604451
106	0.0545052466
107	0.05421648651
108	0.05381685415
109	0.05330438935
110	0.05288625206
111	0.05257755688
112	0.05217812243
113	0.05153478147
114	0.05119516307
115	0.0509178821
116	0.05043719975
117	0.05013121673
118	0.04980450512
119	0.0496253258
120	0.0490495246
121	0.04862270798
122	0.04854615324
123	0.04813389035
124	0.04769889928
125	0.04727925589
126	0.04684493809
127	0.04653597569
128	0.04598783589
129	0.04574838061
130	0.04565397968
131	0.04558849248
132	0.04513908889
133	0.04479054078
134	0.04474286462
135	0.04464299353
136	0.04441021728
137	0.04422925533
138	0.04403040914
139	0.04357828325
140	0.04353316713
141	0.04332548555
142	0.04303534516
143	0.04274799344
144	0.04263638819
145	0.04258406355
146	0.04234731241
147	0.04201977502
148	0.04196807732
149	0.04182015357
150	0.04159083122
151	0.04151235173
152	0.04114607131
153	0.04095599583
154	0.04081080681
155	0.04061372116
156	0.04033809886
157	0.04020153985
158	0.03993599761
159	0.03953631777
160	0.03936988762
161	0.0391811372
162	0.03899113733
163	0.03864290594
164	0.03823854789
165	0.03771244342
166	0.03744995382
167	0.03725253367
168	0.03697784178
169	0.03681931017
170	0.03655844291
171	0.03632267689
172	0.03627265831
173	0.03619700493
174	0.03607747417
175	0.03587450555
176	0.03561245152
177	0.03541897498
178	0.03535384015
179	0.03528694654
180	0.03516734168
181	0.03495521504
182	0.03477126279
183	0.03453777924
184	0.03442184781
185	0.0342122439
186	0.03395039272
187	0.03377882638
188	0.03371638662
189	0.03367845007
190	0.03352824347
191	0.03332764939
192	0.032958119
193	0.03262943541
194	0.03257185297
195	0.03251342699
196	0.03235063107
197	0.03223388011
198	0.03206219022
199	0.03200741411
